Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
69,FRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
70,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,MURS4,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,MURS5,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,VE7RVF,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
76,VE7TEL,145.170000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,VE7RHS,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
78,SimLBVanDta,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
79,SimVanCoq,146.460000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
80,SimVanUBC,147.420000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
81,NatCall,146.520000,,0.000000,TSQL,88.5,88.5,023,NN,FM,5.00,,,,,,
82,VE7NSRSunRun,147.260000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,VE7RBY,145.350000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
84,RVF Output,145.450000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,TEL Output,145.170000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,VE7RPT,146.940000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,SW PREOC,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,InterMunicipal,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,InterMunicipal,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,InterMunicipal,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,InterMunicipal,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,EMBC,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,SNPRepeater,145.290000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
94,NorthShrEmrg,147.200000,+,0.600000,Tone,225.7,88.5,023,NN,FM,5.00,,,,,,
95,IPARNBBy,147.060000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,CoqltlmMndy730,145.310000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
97,NWARCNewWst,145.390000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
98,RchmndTues7pm,147.140000,+,0.600000,Tone,79.7,88.5,023,NN,FM,5.00,,,,,,
99,DeltaARS,147.340000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
100,WhiteRock,146.900000,-,0.600000,Tone,91.5,88.5,023,NN,FM,5.00,,,,,,
101,SrryTues730,147.360000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
102,LanglyARA,147.380000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
103,MpleRdge,146.800000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
104,SqmshARC,147.000000,+,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
105,Whistler,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
106,Pmberton,147.000000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
107,SquamishPmb,146.980000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
108,Abby,146.610000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
109,AbbyMon7pm,147.280000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
110,Chllwck,147.100000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
111,SunshineCoast,147.220000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
112,NanimoMnday9pm,145.430000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
113,SaltSpringIsland,147.320000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
114,SaltSpringLnkdVic,146.660000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
115,SubShneWed730,146.980000,,0.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
116,Victoria,146.840000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
117,PrimaryPreoc,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
118,PrimaryCoqAbby,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
119,PrimayInter,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
120,PrimaryVanMissCoq,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
121,PrimaryKentMission,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
